--- Log Capture Start: 20260214_112329 ---
02-14 11:23:24.596 D/BleProximity: 📶 RSSI: -100
02-14 11:23:24.895 D/BleProximity: 📶 RSSI: -99
02-14 11:23:25.196 D/BleProximity: 📶 RSSI: -101
02-14 11:23:25.498 D/BleProximity: 📶 RSSI: -99
02-14 11:23:25.798 D/BleProximity: 📶 RSSI: -99
02-14 11:23:26.102 D/BleProximity: 📶 RSSI: -99
02-14 11:23:26.406 D/BleProximity: 📶 RSSI: -99
02-14 11:23:26.706 D/BleProximity: 📶 RSSI: -99
02-14 11:23:27.006 D/BleProximity: 📶 RSSI: -100
02-14 11:23:27.308 D/BleProximity: 📶 RSSI: -100
02-14 11:23:27.609 D/BleProximity: 📶 RSSI: -99
02-14 11:23:27.915 D/BleProximity: 📶 RSSI: -100
02-14 11:23:28.215 D/BleProximity: 📶 RSSI: -99
02-14 11:23:28.519 D/BleProximity: 📶 RSSI: -100
02-14 11:23:28.818 D/BleProximity: 📶 RSSI: -99
02-14 11:23:29.121 D/BleProximity: 📶 RSSI: -100
02-14 11:23:29.420 D/BleProximity: 📶 RSSI: -97
02-14 11:23:29.723 D/BleProximity: 📶 RSSI: -99
