--- Log Capture Start: 20260227_163132 ---
02-27 16:31:28.446 D/BleProximity: 📶 RSSI: -95
02-27 16:31:28.752 D/BleProximity: 📶 RSSI: -94
02-27 16:31:29.055 D/BleProximity: 📶 RSSI: -95
02-27 16:31:29.360 D/BleProximity: 📶 RSSI: -96
02-27 16:31:29.661 D/BleProximity: 📶 RSSI: -98
02-27 16:31:29.975 D/BleProximity: 📶 RSSI: -98
02-27 16:31:30.275 D/BleProximity: 📶 RSSI: -96
02-27 16:31:30.580 D/BleProximity: 📶 RSSI: -97
02-27 16:31:30.882 D/BleProximity: 📶 RSSI: -95
02-27 16:31:31.185 D/BleProximity: 📶 RSSI: -95
02-27 16:31:31.489 D/BleProximity: 📶 RSSI: -95
02-27 16:31:31.791 D/BleProximity: 📶 RSSI: -95
