--- Log Capture Start: 20260414_185114 ---
04-13 13:17:28.737 D/BleProximity: 📡 EMA 信号: -65 | 落锁阈值:-91.0 | 解锁阈值:-82.0
04-13 13:17:28.943 D/BleProximity: 📡 EMA 信号: -65 | 落锁阈值:-91.0 | 解锁阈值:-82.0
04-13 13:17:29.148 D/BleProximity: 📡 EMA 信号: -64 | 落锁阈值:-91.0 | 解锁阈值:-82.0
04-13 13:17:29.351 D/BleProximity: 📡 EMA 信号: -63 | 落锁阈值:-91.0 | 解锁阈值:-82.0
04-13 13:17:29.553 D/BleProximity: 📡 EMA 信号: -64 | 落锁阈值:-91.0 | 解锁阈值:-82.0
04-13 13:17:29.758 D/BleProximity: 📡 EMA 信号: -65 | 落锁阈值:-91.0 | 解锁阈值:-82.0
04-13 13:17:29.964 D/BleProximity: 📡 EMA 信号: -64 | 落锁阈值:-91.0 | 解锁阈值:-82.0
04-13 13:17:30.168 D/BleProximity: 📡 EMA 信号: -64 | 落锁阈值:-91.0 | 解锁阈值:-82.0
04-13 13:17:30.372 D/BleProximity: 📡 EMA 信号: -65 | 落锁阈值:-91.0 | 解锁阈值:-82.0
04-13 13:17:30.576 D/BleProximity: 📡 EMA 信号: -65 | 落锁阈值:-91.0 | 解锁阈值:-82.0
04-13 13:17:30.779 D/BleProximity: 📡 EMA 信号: -65 | 落锁阈值:-91.0 | 解锁阈值:-82.0
04-13 13:17:30.989 D/BleProximity: 📡 EMA 信号: -65 | 落锁阈值:-91.0 | 解锁阈值:-82.0
04-13 13:17:31.197 D/BleProximity: 📡 EMA 信号: -65 | 落锁阈值:-91.0 | 解锁阈值:-82.0
04-13 13:17:31.400 D/BleProximity: 📡 EMA 信号: -65 | 落锁阈值:-91.0 | 解锁阈值:-82.0
04-13 13:17:31.603 D/BleProximity: 📡 EMA 信号: -64 | 落锁阈值:-91.0 | 解锁阈值:-82.0
04-13 13:17:31.806 D/BleProximity: 📡 EMA 信号: -64 | 落锁阈值:-91.0 | 解锁阈值:-82.0
04-13 13:17:32.018 D/BleProximity: 📡 EMA 信号: -65 | 落锁阈值:-91.0 | 解锁阈值:-82.0
04-13 13:17:32.225 D/BleProximity: 📡 EMA 信号: -64 | 落锁阈值:-91.0 | 解锁阈值:-82.0
04-13 13:17:32.429 D/BleProximity: 📡 EMA 信号: -64 | 落锁阈值:-91.0 | 解锁阈值:-82.0
04-13 13:17:32.635 D/BleProximity: 📡 EMA 信号: -64 | 落锁阈值:-91.0 | 解锁阈值:-82.0
04-13 13:17:32.845 D/BleProximity: 📡 EMA 信号: -64 | 落锁阈值:-91.0 | 解锁阈值:-82.0
04-13 13:17:33.047 D/BleProximity: 📡 EMA 信号: -64 | 落锁阈值:-91.0 | 解锁阈值:-82.0
04-13 13:17:33.255 D/BleProximity: 📡 EMA 信号: -64 | 落锁阈值:-91.0 | 解锁阈值:-82.0
04-13 13:17:33.460 D/BleProximity: 📡 EMA 信号: -64 | 落锁阈值:-91.0 | 解锁阈值:-82.0
04-13 13:17:33.669 D/BleProximity: 📡 EMA 信号: -64 | 落锁阈值:-91.0 | 解锁阈值:-82.0
04-13 13:17:33.874 D/BleProximity: 📡 EMA 信号: -64 | 落锁阈值:-91.0 | 解锁阈值:-82.0
04-13 13:17:34.080 D/BleProximity: 📡 EMA 信号: -64 | 落锁阈值:-91.0 | 解锁阈值:-82.0
04-13 13:17:34.285 D/BleProximity: 📡 EMA 信号: -64 | 落锁阈值:-91.0 | 解锁阈值:-82.0
04-13 13:17:34.490 D/BleProximity: 📡 EMA 信号: -64 | 落锁阈值:-91.0 | 解锁阈值:-82.0
04-13 13:17:34.694 D/BleProximity: 📡 EMA 信号: -64 | 落锁阈值:-91.0 | 解锁阈值:-82.0
04-13 13:17:34.899 D/BleProximity: 📡 EMA 信号: -64 | 落锁阈值:-91.0 | 解锁阈值:-82.0
04-13 13:17:35.111 D/BleProximity: 📡 EMA 信号: -64 | 落锁阈值:-91.0 | 解锁阈值:-82.0
04-13 13:17:35.323 D/BleProximity: 📡 EMA 信号: -65 | 落锁阈值:-91.0 | 解锁阈值:-82.0
04-13 13:17:35.529 D/BleProximity: 📡 EMA 信号: -64 | 落锁阈值:-91.0 | 解锁阈值:-82.0
04-13 13:17:35.741 D/BleProximity: 📡 EMA 信号: -64 | 落锁阈值:-91.0 | 解锁阈值:-82.0
