--- Log Capture Start: 20260404_091102 ---
04-04 09:10:49.339 D/BleProximity: 📡 EMA 信号: -86 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-04 09:10:49.543 D/BleProximity: 📡 EMA 信号: -86 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-04 09:10:49.742 D/BleProximity: 📡 EMA 信号: -88 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-04 09:10:49.946 D/BleProximity: 📡 EMA 信号: -88 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-04 09:10:50.171 D/BleProximity: 📡 EMA 信号: -87 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-04 09:10:50.379 D/BleProximity: 📡 EMA 信号: -86 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-04 09:10:50.576 D/BleProximity: 📡 EMA 信号: -86 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-04 09:10:50.783 D/BleProximity: 📡 EMA 信号: -86 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-04 09:10:50.992 D/BleProximity: 📡 EMA 信号: -87 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-04 09:10:51.190 D/BleProximity: 📡 EMA 信号: -87 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-04 09:10:51.396 D/BleProximity: 📡 EMA 信号: -86 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-04 09:10:51.598 D/BleProximity: 📡 EMA 信号: -85 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-04 09:10:51.804 D/BleProximity: 📡 EMA 信号: -85 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-04 09:10:52.011 D/BleProximity: 📡 EMA 信号: -84 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-04 09:10:52.213 D/BleProximity: 📡 EMA 信号: -85 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-04 09:10:52.436 D/BleProximity: 📡 EMA 信号: -85 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-04 09:10:52.620 D/BleProximity: 📡 EMA 信号: -84 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-04 09:10:52.825 D/BleProximity: 📡 EMA 信号: -84 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-04 09:10:53.030 D/BleProximity: 📡 EMA 信号: -83 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-04 09:10:53.234 D/BleProximity: 📡 EMA 信号: -82 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-04 09:10:53.451 D/BleProximity: 📡 EMA 信号: -83 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-04 09:10:53.653 D/BleProximity: 📡 EMA 信号: -83 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-04 09:10:53.860 D/BleProximity: 📡 EMA 信号: -84 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-04 09:10:54.061 D/BleProximity: 📡 EMA 信号: -85 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-04 09:10:54.267 D/BleProximity: 📡 EMA 信号: -85 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-04 09:10:54.470 D/BleProximity: 📡 EMA 信号: -85 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-04 09:10:54.675 D/BleProximity: 📡 EMA 信号: -85 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-04 09:10:54.880 D/BleProximity: 📡 EMA 信号: -85 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-04 09:10:55.087 D/BleProximity: 📡 EMA 信号: -85 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-04 09:10:55.288 D/BleProximity: 📡 EMA 信号: -84 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-04 09:10:55.496 D/BleProximity: 📡 EMA 信号: -84 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-04 09:10:55.698 D/BleProximity: 📡 EMA 信号: -84 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-04 09:10:55.910 D/BleProximity: 📡 EMA 信号: -84 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-04 09:10:55.973 D/BleProximity: 🎫 [IslandManualControl] 获取 Session: session_IslandManualControl_3_1775265055973 (总数: 2)
04-04 09:10:55.974 D/BleProximity: ❌ 底层写入失败
04-04 09:10:55.976 D/BleProximity: 🎫 [IslandManualControl] 释放 Session: session_IslandManualControl_3_1775265055973 (剩余: 1)
04-04 09:10:56.108 D/BleProximity: 📡 EMA 信号: -84 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-04 09:10:56.317 D/BleProximity: 📡 EMA 信号: -84 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-04 09:10:56.523 D/BleProximity: 📡 EMA 信号: -84 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-04 09:10:56.745 D/BleProximity: 📡 EMA 信号: -84 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-04 09:10:56.950 D/BleProximity: 📡 EMA 信号: -84 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-04 09:10:57.156 D/BleProximity: 📡 EMA 信号: -84 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-04 09:10:57.362 D/BleProximity: 📡 EMA 信号: -84 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-04 09:10:57.567 D/BleProximity: 📡 EMA 信号: -84 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-04 09:10:57.769 D/BleProximity: 📡 EMA 信号: -84 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-04 09:10:57.970 D/BleProximity: 📡 EMA 信号: -85 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-04 09:10:58.178 D/BleProximity: 📡 EMA 信号: -85 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-04 09:10:58.381 D/BleProximity: 📡 EMA 信号: -86 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-04 09:10:58.588 D/BleProximity: 📡 EMA 信号: -85 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-04 09:10:58.789 D/BleProximity: 📡 EMA 信号: -85 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-04 09:10:59.014 D/BleProximity: 📡 EMA 信号: -84 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-04 09:10:59.197 D/BleProximity: 📡 EMA 信号: -84 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-04 09:10:59.400 D/BleProximity: 📡 EMA 信号: -85 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-04 09:10:59.607 D/BleProximity: 📡 EMA 信号: -86 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-04 09:10:59.812 D/BleProximity: 📡 EMA 信号: -86 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-04 09:11:00.024 D/BleProximity: 📡 EMA 信号: -86 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-04 09:11:00.230 D/BleProximity: 📡 EMA 信号: -86 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-04 09:11:00.437 D/BleProximity: 📡 EMA 信号: -85 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-04 09:11:00.680 D/BleProximity: 📡 EMA 信号: -85 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-04 09:11:00.885 D/BleProximity: 📡 EMA 信号: -84 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-04 09:11:01.101 D/BleProximity: 📡 EMA 信号: -83 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-04 09:11:01.309 D/BleProximity: 📡 EMA 信号: -84 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-04 09:11:01.515 D/BleProximity: 📡 EMA 信号: -84 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-04 09:11:01.722 D/BleProximity: 📡 EMA 信号: -84 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-04 09:11:01.923 D/BleProximity: 📡 EMA 信号: -84 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-04 09:11:02.128 D/BleProximity: 📡 EMA 信号: -84 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-04 09:11:02.330 D/BleProximity: 📡 EMA 信号: -84 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-04 09:11:02.562 D/BleProximity: 📡 EMA 信号: -83 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-04 09:11:02.740 D/BleProximity: 📡 EMA 信号: -82 | 落锁阈值:-90.0 | 解锁阈值:-87.0
