--- Log Capture Start: 20260405_184517 ---
04-05 18:41:47.271 D/BleProximity: 📡 EMA 信号: -53 | 落锁阈值:-75.0 | 解锁阈值:-67.0
04-05 18:41:47.372 D/BleProximity: 📡 EMA 信号: -53 | 落锁阈值:-75.0 | 解锁阈值:-67.0
04-05 18:41:47.473 D/BleProximity: 📡 EMA 信号: -53 | 落锁阈值:-75.0 | 解锁阈值:-67.0
04-05 18:41:47.576 D/BleProximity: 📡 EMA 信号: -53 | 落锁阈值:-75.0 | 解锁阈值:-67.0
04-05 18:41:47.675 D/BleProximity: 📡 EMA 信号: -53 | 落锁阈值:-75.0 | 解锁阈值:-67.0
04-05 18:41:47.776 D/BleProximity: 📡 EMA 信号: -53 | 落锁阈值:-75.0 | 解锁阈值:-67.0
04-05 18:41:47.877 D/BleProximity: 📡 EMA 信号: -53 | 落锁阈值:-75.0 | 解锁阈值:-67.0
04-05 18:41:47.992 D/BleProximity: 📡 EMA 信号: -53 | 落锁阈值:-75.0 | 解锁阈值:-67.0
04-05 18:41:48.080 D/BleProximity: 📡 EMA 信号: -53 | 落锁阈值:-75.0 | 解锁阈值:-67.0
04-05 18:41:48.181 D/BleProximity: 📡 EMA 信号: -53 | 落锁阈值:-75.0 | 解锁阈值:-67.0
04-05 18:41:48.282 D/BleProximity: 📡 EMA 信号: -53 | 落锁阈值:-75.0 | 解锁阈值:-67.0
04-05 18:41:48.383 D/BleProximity: 📡 EMA 信号: -53 | 落锁阈值:-75.0 | 解锁阈值:-67.0
04-05 18:41:48.493 D/BleProximity: 📡 EMA 信号: -53 | 落锁阈值:-75.0 | 解锁阈值:-67.0
04-05 18:41:48.593 D/BleProximity: 📡 EMA 信号: -53 | 落锁阈值:-75.0 | 解锁阈值:-67.0
04-05 18:41:48.694 D/BleProximity: 📡 EMA 信号: -53 | 落锁阈值:-75.0 | 解锁阈值:-67.0
04-05 18:41:48.796 D/BleProximity: 📡 EMA 信号: -53 | 落锁阈值:-75.0 | 解锁阈值:-67.0
04-05 18:41:48.896 D/BleProximity: 📡 EMA 信号: -53 | 落锁阈值:-75.0 | 解锁阈值:-67.0
04-05 18:41:48.998 D/BleProximity: 📡 EMA 信号: -53 | 落锁阈值:-75.0 | 解锁阈值:-67.0
04-05 18:41:49.101 D/BleProximity: 📡 EMA 信号: -53 | 落锁阈值:-75.0 | 解锁阈值:-67.0
04-05 18:41:49.202 D/BleProximity: 📡 EMA 信号: -53 | 落锁阈值:-75.0 | 解锁阈值:-67.0
04-05 18:41:49.305 D/BleProximity: 📡 EMA 信号: -53 | 落锁阈值:-75.0 | 解锁阈值:-67.0
04-05 18:41:49.406 D/BleProximity: 📡 EMA 信号: -53 | 落锁阈值:-75.0 | 解锁阈值:-67.0
04-05 18:41:49.507 D/BleProximity: 📡 EMA 信号: -53 | 落锁阈值:-75.0 | 解锁阈值:-67.0
04-05 18:41:49.608 D/BleProximity: 📡 EMA 信号: -53 | 落锁阈值:-75.0 | 解锁阈值:-67.0
04-05 18:41:49.708 D/BleProximity: 📡 EMA 信号: -53 | 落锁阈值:-75.0 | 解锁阈值:-67.0
04-05 18:41:49.810 D/BleProximity: 📡 EMA 信号: -53 | 落锁阈值:-75.0 | 解锁阈值:-67.0
04-05 18:41:49.911 D/BleProximity: 📡 EMA 信号: -53 | 落锁阈值:-75.0 | 解锁阈值:-67.0
04-05 18:41:50.012 D/BleProximity: 📡 EMA 信号: -53 | 落锁阈值:-75.0 | 解锁阈值:-67.0
04-05 18:41:50.114 D/BleProximity: 📡 EMA 信号: -53 | 落锁阈值:-75.0 | 解锁阈值:-67.0
04-05 18:41:50.215 D/BleProximity: 📡 EMA 信号: -53 | 落锁阈值:-75.0 | 解锁阈值:-67.0
04-05 18:41:50.316 D/BleProximity: 📡 EMA 信号: -53 | 落锁阈值:-75.0 | 解锁阈值:-67.0
04-05 18:41:50.418 D/BleProximity: 📡 EMA 信号: -53 | 落锁阈值:-75.0 | 解锁阈值:-67.0
04-05 18:41:50.519 D/BleProximity: 📡 EMA 信号: -53 | 落锁阈值:-75.0 | 解锁阈值:-67.0
04-05 18:41:50.621 D/BleProximity: 📡 EMA 信号: -53 | 落锁阈值:-75.0 | 解锁阈值:-67.0
04-05 18:41:50.722 D/BleProximity: 📡 EMA 信号: -53 | 落锁阈值:-75.0 | 解锁阈值:-67.0
04-05 18:41:50.825 D/BleProximity: 📡 EMA 信号: -53 | 落锁阈值:-75.0 | 解锁阈值:-67.0
04-05 18:41:50.925 D/BleProximity: 📡 EMA 信号: -52 | 落锁阈值:-75.0 | 解锁阈值:-67.0
04-05 18:41:51.026 D/BleProximity: 📡 EMA 信号: -52 | 落锁阈值:-75.0 | 解锁阈值:-67.0
04-05 18:41:51.126 D/BleProximity: 📡 EMA 信号: -52 | 落锁阈值:-75.0 | 解锁阈值:-67.0
04-05 18:41:51.228 D/BleProximity: 📡 EMA 信号: -52 | 落锁阈值:-75.0 | 解锁阈值:-67.0
04-05 18:41:51.330 D/BleProximity: 📡 EMA 信号: -52 | 落锁阈值:-75.0 | 解锁阈值:-67.0
04-05 18:41:51.431 D/BleProximity: 📡 EMA 信号: -52 | 落锁阈值:-75.0 | 解锁阈值:-67.0
04-05 18:41:51.532 D/BleProximity: 📡 EMA 信号: -52 | 落锁阈值:-75.0 | 解锁阈值:-67.0
04-05 18:41:51.634 D/BleProximity: 📡 EMA 信号: -52 | 落锁阈值:-75.0 | 解锁阈值:-67.0
04-05 18:41:51.741 D/BleProximity: 📡 EMA 信号: -52 | 落锁阈值:-75.0 | 解锁阈值:-67.0
04-05 18:41:51.837 D/BleProximity: 📡 EMA 信号: -52 | 落锁阈值:-75.0 | 解锁阈值:-67.0
04-05 18:41:51.940 D/BleProximity: 📡 EMA 信号: -52 | 落锁阈值:-75.0 | 解锁阈值:-67.0
04-05 18:41:52.041 D/BleProximity: 📡 EMA 信号: -52 | 落锁阈值:-75.0 | 解锁阈值:-67.0
04-05 18:41:52.143 D/BleProximity: 📡 EMA 信号: -52 | 落锁阈值:-75.0 | 解锁阈值:-67.0
04-05 18:41:52.256 D/BleProximity: 📡 EMA 信号: -52 | 落锁阈值:-75.0 | 解锁阈值:-67.0
04-05 18:41:52.355 D/BleProximity: 📡 EMA 信号: -52 | 落锁阈值:-75.0 | 解锁阈值:-67.0
04-05 18:41:52.456 D/BleProximity: 📡 EMA 信号: -52 | 落锁阈值:-75.0 | 解锁阈值:-67.0
04-05 18:41:52.558 D/BleProximity: 📡 EMA 信号: -52 | 落锁阈值:-75.0 | 解锁阈值:-67.0
04-05 18:41:52.660 D/BleProximity: 📡 EMA 信号: -52 | 落锁阈值:-75.0 | 解锁阈值:-67.0
04-05 18:41:52.760 D/BleProximity: 📡 EMA 信号: -52 | 落锁阈值:-75.0 | 解锁阈值:-67.0
04-05 18:41:52.862 D/BleProximity: 📡 EMA 信号: -52 | 落锁阈值:-75.0 | 解锁阈值:-67.0
