--- Log Capture Start: 20260226_111644 ---
02-26 11:16:29.197 D/BleProximity: 📶 RSSI: -95
02-26 11:16:29.498 D/BleProximity: 📶 RSSI: -95
02-26 11:16:29.794 D/BleProximity: 📶 RSSI: -95
02-26 11:16:30.095 D/BleProximity: 📶 RSSI: -95
02-26 11:16:30.401 D/BleProximity: 📶 RSSI: -96
02-26 11:16:30.703 D/BleProximity: 📶 RSSI: -96
02-26 11:16:31.004 D/BleProximity: 📶 RSSI: -95
02-26 11:16:31.311 D/BleProximity: 📶 RSSI: -94
02-26 11:16:31.611 D/BleProximity: 📶 RSSI: -93
02-26 11:16:31.914 D/BleProximity: 📶 RSSI: -94
02-26 11:16:32.231 D/BleProximity: 📶 RSSI: -94
02-26 11:16:32.550 D/BleProximity: 📶 RSSI: -95
02-26 11:16:32.846 D/BleProximity: 📶 RSSI: -95
02-26 11:16:33.149 D/BleProximity: 📶 RSSI: -95
02-26 11:16:33.453 D/BleProximity: 📶 RSSI: -95
02-26 11:16:33.771 D/BleProximity: 📶 RSSI: -95
02-26 11:16:34.085 D/BleProximity: 📶 RSSI: -94
02-26 11:16:34.379 D/BleProximity: 📶 RSSI: -94
02-26 11:16:34.681 D/BleProximity: 📶 RSSI: -95
02-26 11:16:35.000 D/BleProximity: 📶 RSSI: -94
02-26 11:16:35.314 D/BleProximity: 📶 RSSI: -94
02-26 11:16:35.611 D/BleProximity: 📶 RSSI: -94
02-26 11:16:35.910 D/BleProximity: 📶 RSSI: -94
02-26 11:16:36.210 D/BleProximity: 📶 RSSI: -94
02-26 11:16:36.519 D/BleProximity: 📶 RSSI: -95
02-26 11:16:36.829 D/BleProximity: 📶 RSSI: -95
02-26 11:16:37.142 D/BleProximity: 📶 RSSI: -94
02-26 11:16:37.436 D/BleProximity: 📶 RSSI: -94
02-26 11:16:37.757 D/BleProximity: 📶 RSSI: -94
02-26 11:16:38.072 D/BleProximity: 📶 RSSI: -94
02-26 11:16:38.366 D/BleProximity: 📶 RSSI: -94
02-26 11:16:38.672 D/BleProximity: 📶 RSSI: -94
02-26 11:16:38.975 D/BleProximity: 📶 RSSI: -93
02-26 11:16:39.277 D/BleProximity: 📶 RSSI: -94
02-26 11:16:39.576 D/BleProximity: 📶 RSSI: -93
02-26 11:16:39.883 D/BleProximity: 📶 RSSI: -94
02-26 11:16:40.188 D/BleProximity: 📶 RSSI: -94
02-26 11:16:40.492 D/BleProximity: 📶 RSSI: -93
02-26 11:16:40.797 D/BleProximity: 📶 RSSI: -95
02-26 11:16:41.102 D/BleProximity: 📶 RSSI: -94
02-26 11:16:41.408 D/BleProximity: 📶 RSSI: -93
02-26 11:16:41.710 D/BleProximity: 📶 RSSI: -94
02-26 11:16:42.018 D/BleProximity: 📶 RSSI: -94
02-26 11:16:42.321 D/BleProximity: 📶 RSSI: -95
02-26 11:16:42.629 D/BleProximity: 📶 RSSI: -97
02-26 11:16:42.931 D/BleProximity: 📶 RSSI: -96
02-26 11:16:43.236 D/BleProximity: 📶 RSSI: -96
02-26 11:16:43.539 D/BleProximity: 📶 RSSI: -96
