--- Log Capture Start: 20260303_122418 ---
03-03 12:19:16.269 D/BleProximity: 📶 RSSI: -49
03-03 12:19:16.572 D/BleProximity: 📶 RSSI: -49
03-03 12:19:16.876 D/BleProximity: 📶 RSSI: -49
03-03 12:19:17.177 D/BleProximity: 📶 RSSI: -49
03-03 12:19:17.483 D/BleProximity: 📶 RSSI: -49
03-03 12:19:17.784 D/BleProximity: 📶 RSSI: -48
03-03 12:19:18.094 D/BleProximity: 📶 RSSI: -50
03-03 12:19:18.395 D/BleProximity: 📶 RSSI: -49
03-03 12:19:18.701 D/BleProximity: 📶 RSSI: -49
03-03 12:19:19.002 D/BleProximity: 📶 RSSI: -49
03-03 12:19:19.303 D/BleProximity: 📶 RSSI: -49
03-03 12:19:19.620 D/BleProximity: 📶 RSSI: -49
03-03 12:19:19.910 D/BleProximity: 📶 RSSI: -48
03-03 12:19:20.213 D/BleProximity: 📶 RSSI: -49
03-03 12:19:20.514 D/BleProximity: 📶 RSSI: -48
03-03 12:19:20.818 D/BleProximity: 📶 RSSI: -48
03-03 12:19:21.119 D/BleProximity: 📶 RSSI: -48
03-03 12:19:21.419 D/BleProximity: 📶 RSSI: -47
03-03 12:19:21.721 D/BleProximity: 📶 RSSI: -47
03-03 12:19:22.029 D/BleProximity: 📶 RSSI: -47
03-03 12:19:22.330 D/BleProximity: 📶 RSSI: -47
03-03 12:19:22.632 D/BleProximity: 📶 RSSI: -47
03-03 12:19:22.936 D/BleProximity: 📶 RSSI: -48
03-03 12:19:23.239 D/BleProximity: 📶 RSSI: -47
03-03 12:19:23.537 D/BleProximity: 📶 RSSI: -47
03-03 12:19:23.841 D/BleProximity: 📶 RSSI: -46
03-03 12:19:24.144 D/BleProximity: 📶 RSSI: -47
03-03 12:19:24.451 D/BleProximity: 📶 RSSI: -47
03-03 12:19:24.757 D/BleProximity: 📶 RSSI: -48
03-03 12:19:25.058 D/BleProximity: 📶 RSSI: -48
03-03 12:19:25.364 D/BleProximity: 📶 RSSI: -48
03-03 12:19:25.664 D/BleProximity: 📶 RSSI: -48
03-03 12:19:25.974 D/BleProximity: 📶 RSSI: -47
03-03 12:19:26.276 D/BleProximity: 📶 RSSI: -47
03-03 12:19:26.580 D/BleProximity: 📶 RSSI: -46
03-03 12:19:26.882 D/BleProximity: 📶 RSSI: -47
03-03 12:19:27.192 D/BleProximity: 📶 RSSI: -47
03-03 12:19:27.491 D/BleProximity: 📶 RSSI: -48
03-03 12:19:27.797 D/BleProximity: 📶 RSSI: -47
03-03 12:19:28.098 D/BleProximity: 📶 RSSI: -48
03-03 12:19:28.404 D/BleProximity: 📶 RSSI: -47
