--- Log Capture Start: 20260429_170741 ---
04-29 16:59:12.383 D/BleProximity: 📡 EMA 信号: -45 | 落锁阈值:-88.0 | 解锁阈值:-75.0
04-29 16:59:12.624 D/BleProximity: 📡 EMA 信号: -45 | 落锁阈值:-88.0 | 解锁阈值:-75.0
04-29 16:59:12.863 D/BleProximity: 📡 EMA 信号: -46 | 落锁阈值:-88.0 | 解锁阈值:-75.0
04-29 16:59:13.097 D/BleProximity: 📡 EMA 信号: -47 | 落锁阈值:-88.0 | 解锁阈值:-75.0
04-29 16:59:13.338 D/BleProximity: 📡 EMA 信号: -47 | 落锁阈值:-88.0 | 解锁阈值:-75.0
04-29 16:59:13.579 D/BleProximity: 📡 EMA 信号: -47 | 落锁阈值:-88.0 | 解锁阈值:-75.0
04-29 16:59:13.820 D/BleProximity: 📡 EMA 信号: -48 | 落锁阈值:-88.0 | 解锁阈值:-75.0
04-29 16:59:14.065 D/BleProximity: 📡 EMA 信号: -48 | 落锁阈值:-88.0 | 解锁阈值:-75.0
04-29 16:59:14.310 D/BleProximity: 📡 EMA 信号: -48 | 落锁阈值:-88.0 | 解锁阈值:-75.0
04-29 16:59:14.546 D/BleProximity: 📡 EMA 信号: -48 | 落锁阈值:-88.0 | 解锁阈值:-75.0
04-29 16:59:14.788 D/BleProximity: 📡 EMA 信号: -48 | 落锁阈值:-88.0 | 解锁阈值:-75.0
04-29 16:59:15.031 D/BleProximity: 📡 EMA 信号: -48 | 落锁阈值:-88.0 | 解锁阈值:-75.0
04-29 16:59:15.274 D/BleProximity: 📡 EMA 信号: -48 | 落锁阈值:-88.0 | 解锁阈值:-75.0
04-29 16:59:15.513 D/BleProximity: 📡 EMA 信号: -48 | 落锁阈值:-88.0 | 解锁阈值:-75.0
04-29 16:59:15.755 D/BleProximity: 📡 EMA 信号: -47 | 落锁阈值:-88.0 | 解锁阈值:-75.0
04-29 16:59:15.994 D/BleProximity: 📡 EMA 信号: -47 | 落锁阈值:-88.0 | 解锁阈值:-75.0
04-29 16:59:16.237 D/BleProximity: 📡 EMA 信号: -47 | 落锁阈值:-88.0 | 解锁阈值:-75.0
04-29 16:59:16.474 D/BleProximity: 📡 EMA 信号: -47 | 落锁阈值:-88.0 | 解锁阈值:-75.0
04-29 16:59:16.717 D/BleProximity: 📡 EMA 信号: -47 | 落锁阈值:-88.0 | 解锁阈值:-75.0
04-29 16:59:16.954 D/BleProximity: 📡 EMA 信号: -47 | 落锁阈值:-88.0 | 解锁阈值:-75.0
04-29 16:59:17.195 D/BleProximity: 📡 EMA 信号: -47 | 落锁阈值:-88.0 | 解锁阈值:-75.0
04-29 16:59:17.436 D/BleProximity: 📡 EMA 信号: -47 | 落锁阈值:-88.0 | 解锁阈值:-75.0
04-29 16:59:17.682 D/BleProximity: 📡 EMA 信号: -47 | 落锁阈值:-88.0 | 解锁阈值:-75.0
04-29 16:59:17.891 D/BleProximity: 📡 EMA 信号: -47 | 落锁阈值:-88.0 | 解锁阈值:-75.0
04-29 16:59:18.135 D/BleProximity: 📡 EMA 信号: -47 | 落锁阈值:-88.0 | 解锁阈值:-75.0
04-29 16:59:18.380 D/BleProximity: 📡 EMA 信号: -47 | 落锁阈值:-88.0 | 解锁阈值:-75.0
04-29 16:59:18.621 D/BleProximity: 📡 EMA 信号: -47 | 落锁阈值:-88.0 | 解锁阈值:-75.0
04-29 16:59:18.829 D/BleProximity: 📡 EMA 信号: -47 | 落锁阈值:-88.0 | 解锁阈值:-75.0
04-29 16:59:19.071 D/BleProximity: 📡 EMA 信号: -47 | 落锁阈值:-88.0 | 解锁阈值:-75.0
04-29 16:59:19.314 D/BleProximity: 📡 EMA 信号: -47 | 落锁阈值:-88.0 | 解锁阈值:-75.0
04-29 16:59:19.554 D/BleProximity: 📡 EMA 信号: -47 | 落锁阈值:-88.0 | 解锁阈值:-75.0
04-29 16:59:19.798 D/BleProximity: 📡 EMA 信号: -47 | 落锁阈值:-88.0 | 解锁阈值:-75.0
04-29 16:59:20.039 D/BleProximity: 📡 EMA 信号: -47 | 落锁阈值:-88.0 | 解锁阈值:-75.0
04-29 16:59:20.274 D/BleProximity: 📡 EMA 信号: -46 | 落锁阈值:-88.0 | 解锁阈值:-75.0
04-29 16:59:20.515 D/BleProximity: 📡 EMA 信号: -45 | 落锁阈值:-88.0 | 解锁阈值:-75.0
04-29 16:59:20.760 D/BleProximity: 📡 EMA 信号: -45 | 落锁阈值:-88.0 | 解锁阈值:-75.0
04-29 16:59:20.991 D/BleProximity: 📡 EMA 信号: -44 | 落锁阈值:-88.0 | 解锁阈值:-75.0
04-29 16:59:21.221 D/BleProximity: 📡 EMA 信号: -44 | 落锁阈值:-88.0 | 解锁阈值:-75.0
04-29 16:59:21.465 D/BleProximity: 📡 EMA 信号: -44 | 落锁阈值:-88.0 | 解锁阈值:-75.0
04-29 16:59:21.681 D/BleProximity: 📡 EMA 信号: -43 | 落锁阈值:-88.0 | 解锁阈值:-75.0
04-29 16:59:21.893 D/BleProximity: 📡 EMA 信号: -43 | 落锁阈值:-88.0 | 解锁阈值:-75.0
04-29 16:59:22.136 D/BleProximity: 📡 EMA 信号: -43 | 落锁阈值:-88.0 | 解锁阈值:-75.0
04-29 16:59:22.371 D/BleProximity: 📡 EMA 信号: -43 | 落锁阈值:-88.0 | 解锁阈值:-75.0
04-29 16:59:22.577 D/BleProximity: 📡 EMA 信号: -43 | 落锁阈值:-88.0 | 解锁阈值:-75.0
04-29 16:59:22.805 D/BleProximity: 📡 EMA 信号: -43 | 落锁阈值:-88.0 | 解锁阈值:-75.0
04-29 16:59:23.028 D/BleProximity: 📡 EMA 信号: -43 | 落锁阈值:-88.0 | 解锁阈值:-75.0
04-29 16:59:23.245 D/BleProximity: 📡 EMA 信号: -43 | 落锁阈值:-88.0 | 解锁阈值:-75.0
04-29 16:59:23.473 D/BleProximity: 📡 EMA 信号: -42 | 落锁阈值:-88.0 | 解锁阈值:-75.0
04-29 16:59:23.712 D/BleProximity: 📡 EMA 信号: -42 | 落锁阈值:-88.0 | 解锁阈值:-75.0
04-29 16:59:23.953 D/BleProximity: 📡 EMA 信号: -42 | 落锁阈值:-88.0 | 解锁阈值:-75.0
04-29 16:59:24.183 D/BleProximity: 📡 EMA 信号: -42 | 落锁阈值:-88.0 | 解锁阈值:-75.0
04-29 16:59:24.424 D/BleProximity: 📡 EMA 信号: -42 | 落锁阈值:-88.0 | 解锁阈值:-75.0
04-29 16:59:24.637 D/BleProximity: 📡 EMA 信号: -42 | 落锁阈值:-88.0 | 解锁阈值:-75.0
04-29 16:59:24.881 D/BleProximity: 📡 EMA 信号: -43 | 落锁阈值:-88.0 | 解锁阈值:-75.0
04-29 16:59:25.109 D/BleProximity: 📡 EMA 信号: -43 | 落锁阈值:-88.0 | 解锁阈值:-75.0
04-29 16:59:25.355 D/BleProximity: 📡 EMA 信号: -43 | 落锁阈值:-88.0 | 解锁阈值:-75.0
04-29 16:59:25.595 D/BleProximity: 📡 EMA 信号: -43 | 落锁阈值:-88.0 | 解锁阈值:-75.0
04-29 16:59:25.840 D/BleProximity: 📡 EMA 信号: -43 | 落锁阈值:-88.0 | 解锁阈值:-75.0
04-29 16:59:26.082 D/BleProximity: 📡 EMA 信号: -43 | 落锁阈值:-88.0 | 解锁阈值:-75.0
04-29 16:59:26.288 D/BleProximity: 📡 EMA 信号: -43 | 落锁阈值:-88.0 | 解锁阈值:-75.0
04-29 16:59:26.494 D/BleProximity: 📡 EMA 信号: -43 | 落锁阈值:-88.0 | 解锁阈值:-75.0
04-29 16:59:26.736 D/BleProximity: 📡 EMA 信号: -43 | 落锁阈值:-88.0 | 解锁阈值:-75.0
04-29 16:59:26.947 D/BleProximity: 📡 EMA 信号: -43 | 落锁阈值:-88.0 | 解锁阈值:-75.0
04-29 16:59:27.160 D/BleProximity: 📡 EMA 信号: -43 | 落锁阈值:-88.0 | 解锁阈值:-75.0
04-29 16:59:27.396 D/BleProximity: 📡 EMA 信号: -43 | 落锁阈值:-88.0 | 解锁阈值:-75.0
04-29 16:59:27.640 D/BleProximity: 📡 EMA 信号: -43 | 落锁阈值:-88.0 | 解锁阈值:-75.0
04-29 16:59:27.882 D/BleProximity: 📡 EMA 信号: -43 | 落锁阈值:-88.0 | 解锁阈值:-75.0
04-29 16:59:28.114 D/BleProximity: 📡 EMA 信号: -43 | 落锁阈值:-88.0 | 解锁阈值:-75.0
04-29 16:59:28.322 D/BleProximity: 📡 EMA 信号: -43 | 落锁阈值:-88.0 | 解锁阈值:-75.0
04-29 16:59:28.560 D/BleProximity: 📡 EMA 信号: -42 | 落锁阈值:-88.0 | 解锁阈值:-75.0
04-29 16:59:28.788 D/BleProximity: 📡 EMA 信号: -43 | 落锁阈值:-88.0 | 解锁阈值:-75.0
04-29 16:59:29.015 D/BleProximity: 📡 EMA 信号: -43 | 落锁阈值:-88.0 | 解锁阈值:-75.0
04-29 16:59:29.256 D/BleProximity: 📡 EMA 信号: -43 | 落锁阈值:-88.0 | 解锁阈值:-75.0
04-29 16:59:29.497 D/BleProximity: 📡 EMA 信号: -43 | 落锁阈值:-88.0 | 解锁阈值:-75.0
04-29 16:59:29.736 D/BleProximity: 📡 EMA 信号: -43 | 落锁阈值:-88.0 | 解锁阈值:-75.0
04-29 16:59:29.941 D/BleProximity: 📡 EMA 信号: -43 | 落锁阈值:-88.0 | 解锁阈值:-75.0
