--- Log Capture Start: 20260301_103317 ---
03-01 10:28:18.781 D/BleProximity: 📶 RSSI: -61
03-01 10:28:19.086 D/BleProximity: 📶 RSSI: -54
03-01 10:28:19.383 D/BleProximity: 📶 RSSI: -61
03-01 10:28:19.688 D/BleProximity: 📶 RSSI: -61
03-01 10:28:19.992 D/BleProximity: 📶 RSSI: -60
03-01 10:28:20.295 D/BleProximity: 📶 RSSI: -63
03-01 10:28:20.600 D/BleProximity: 📶 RSSI: -58
03-01 10:28:20.902 D/BleProximity: 📶 RSSI: -57
03-01 10:28:21.211 D/BleProximity: 📶 RSSI: -59
03-01 10:28:21.509 D/BleProximity: 📶 RSSI: -67
03-01 10:28:21.810 D/BleProximity: 📶 RSSI: -65
03-01 10:28:22.126 D/BleProximity: 📶 RSSI: -76
03-01 10:28:22.424 D/BleProximity: 📶 RSSI: -71
03-01 10:28:22.722 D/BleProximity: 📶 RSSI: -64
03-01 10:28:23.028 D/BleProximity: 📶 RSSI: -63
03-01 10:28:23.326 D/BleProximity: 📶 RSSI: -56
03-01 10:28:23.627 D/BleProximity: 📶 RSSI: -53
