--- Log Capture Start: 20260215_170533 ---
02-15 17:05:07.662 D/BleProximity: 📶 RSSI: -90
02-15 17:05:07.965 D/BleProximity: 📶 RSSI: -91
02-15 17:05:08.260 D/BleProximity: 📶 RSSI: -93
02-15 17:05:08.571 D/BleProximity: 📶 RSSI: -97
02-15 17:05:08.879 D/BleProximity: 📶 RSSI: -96
02-15 17:05:09.184 D/BleProximity: 📶 RSSI: -95
02-15 17:05:09.488 D/BleProximity: 📶 RSSI: -93
02-15 17:05:09.794 D/BleProximity: 📶 RSSI: -95
02-15 17:05:10.104 D/BleProximity: 📶 RSSI: -96
02-15 17:05:10.407 D/BleProximity: 📶 RSSI: -96
02-15 17:05:10.713 D/BleProximity: 📶 RSSI: -96
02-15 17:05:11.026 D/BleProximity: 📶 RSSI: -96
02-15 17:05:11.339 D/BleProximity: 📶 RSSI: -97
02-15 17:05:11.636 D/BleProximity: 📶 RSSI: -95
02-15 17:05:11.952 D/BleProximity: 📶 RSSI: -94
02-15 17:05:12.264 D/BleProximity: 📶 RSSI: -96
02-15 17:05:12.560 D/BleProximity: 📶 RSSI: -94
02-15 17:05:12.877 D/BleProximity: 📶 RSSI: -93
02-15 17:05:13.188 D/BleProximity: 📶 RSSI: -94
02-15 17:05:13.480 D/BleProximity: 📶 RSSI: -97
02-15 17:05:13.785 D/BleProximity: 📶 RSSI: -94
02-15 17:05:14.085 D/BleProximity: 📶 RSSI: -97
02-15 17:05:14.386 D/BleProximity: 📶 RSSI: -97
02-15 17:05:14.692 D/BleProximity: 📶 RSSI: -98
02-15 17:05:14.991 D/BleProximity: 📶 RSSI: -97
02-15 17:05:15.295 D/BleProximity: 📶 RSSI: -96
02-15 17:05:15.598 D/BleProximity: 📶 RSSI: -95
02-15 17:05:15.906 D/BleProximity: 📶 RSSI: -96
02-15 17:05:16.209 D/BleProximity: 📶 RSSI: -96
02-15 17:05:16.517 D/BleProximity: 📶 RSSI: -94
02-15 17:05:16.814 D/BleProximity: 📶 RSSI: -95
02-15 17:05:17.119 D/BleProximity: 📶 RSSI: -97
02-15 17:05:17.423 D/BleProximity: 📶 RSSI: -96
02-15 17:05:17.722 D/BleProximity: 📶 RSSI: -95
02-15 17:05:18.032 D/BleProximity: 📶 RSSI: -96
02-15 17:05:18.346 D/BleProximity: 📶 RSSI: -96
02-15 17:05:18.635 D/BleProximity: 📶 RSSI: -96
02-15 17:05:18.942 D/BleProximity: 📶 RSSI: -95
02-15 17:05:19.243 D/BleProximity: 📶 RSSI: -95
02-15 17:05:19.541 D/BleProximity: 📶 RSSI: -95
02-15 17:05:19.850 D/BleProximity: 📶 RSSI: -97
02-15 17:05:20.147 D/BleProximity: 📶 RSSI: -96
02-15 17:05:20.457 D/BleProximity: 📶 RSSI: -96
02-15 17:05:20.756 D/BleProximity: 📶 RSSI: -95
02-15 17:05:21.062 D/BleProximity: 📶 RSSI: -94
02-15 17:05:21.366 D/BleProximity: 📶 RSSI: -96
02-15 17:05:21.667 D/BleProximity: 📶 RSSI: -96
02-15 17:05:21.978 D/BleProximity: 📶 RSSI: -97
02-15 17:05:22.287 D/BleProximity: 📶 RSSI: -95
02-15 17:05:22.590 D/BleProximity: 📶 RSSI: -97
02-15 17:05:22.899 D/BleProximity: 📶 RSSI: -95
02-15 17:05:23.205 D/BleProximity: 📶 RSSI: -95
02-15 17:05:23.514 D/BleProximity: 📶 RSSI: -96
02-15 17:05:23.827 D/BleProximity: 📶 RSSI: -96
02-15 17:05:24.124 D/BleProximity: 📶 RSSI: -95
02-15 17:05:24.440 D/BleProximity: 📶 RSSI: -94
02-15 17:05:24.754 D/BleProximity: 📶 RSSI: -95
02-15 17:05:25.049 D/BleProximity: 📶 RSSI: -97
02-15 17:05:25.358 D/BleProximity: 📶 RSSI: -96
02-15 17:05:25.668 D/BleProximity: 📶 RSSI: -94
02-15 17:05:25.968 D/BleProximity: 📶 RSSI: -95
02-15 17:05:26.270 D/BleProximity: 📶 RSSI: -97
02-15 17:05:26.577 D/BleProximity: 📶 RSSI: -97
02-15 17:05:26.889 D/BleProximity: 📶 RSSI: -95
02-15 17:05:27.192 D/BleProximity: 📶 RSSI: -98
02-15 17:05:27.497 D/BleProximity: 📶 RSSI: -95
02-15 17:05:27.813 D/BleProximity: 📶 RSSI: -93
02-15 17:05:28.109 D/BleProximity: 📶 RSSI: -93
02-15 17:05:28.406 D/BleProximity: 📶 RSSI: -92
02-15 17:05:28.713 D/BleProximity: 📶 RSSI: -92
02-15 17:05:29.018 D/BleProximity: 📶 RSSI: -94
02-15 17:05:29.320 D/BleProximity: 📶 RSSI: -94
02-15 17:05:29.620 D/BleProximity: 📶 RSSI: -93
02-15 17:05:29.923 D/BleProximity: 📶 RSSI: -92
02-15 17:05:30.223 D/BleProximity: 📶 RSSI: -94
02-15 17:05:30.532 D/BleProximity: 📶 RSSI: -93
02-15 17:05:30.829 D/BleProximity: 📶 RSSI: -92
02-15 17:05:31.133 D/BleProximity: 📶 RSSI: -90
02-15 17:05:31.436 D/BleProximity: 📶 RSSI: -90
02-15 17:05:31.735 D/BleProximity: 📶 RSSI: -89
02-15 17:05:32.036 D/BleProximity: 📶 RSSI: -90
02-15 17:05:32.342 D/BleProximity: 📶 RSSI: -90
02-15 17:05:32.644 D/BleProximity: 📶 RSSI: -92
02-15 17:05:32.942 D/BleProximity: 📶 RSSI: -92
02-15 17:05:33.245 D/BleProximity: 📶 RSSI: -93
