--- Log Capture Start: 20260214_135223 ---
02-14 13:51:31.934 D/BleProximity: 📶 RSSI: -98
02-14 13:51:32.235 D/BleProximity: 📶 RSSI: -96
02-14 13:51:32.537 D/BleProximity: 📶 RSSI: -96
02-14 13:51:32.839 D/BleProximity: 📶 RSSI: -93
02-14 13:51:33.140 D/BleProximity: 📶 RSSI: -100
02-14 13:51:33.443 D/BleProximity: 📶 RSSI: -95
02-14 13:51:33.744 D/BleProximity: 📶 RSSI: -92
02-14 13:51:34.048 D/BleProximity: 📶 RSSI: -102
02-14 13:51:34.350 D/BleProximity: 📶 RSSI: -94
02-14 13:51:34.654 D/BleProximity: 📶 RSSI: -98
02-14 13:51:34.957 D/BleProximity: 📶 RSSI: -83
02-14 13:51:35.263 D/BleProximity: 📶 RSSI: -92
02-14 13:51:35.633 D/BleProximity: 📶 RSSI: -85
02-14 13:51:35.930 D/BleProximity: 📶 RSSI: -81
02-14 13:51:36.232 D/BleProximity: 📶 RSSI: -83
02-14 13:51:36.533 D/BleProximity: 📶 RSSI: -102
02-14 13:51:36.838 D/BleProximity: 📶 RSSI: -87
02-14 13:51:37.136 D/BleProximity: 📶 RSSI: -92
02-14 13:51:37.453 D/BleProximity: 📶 RSSI: -87
02-14 13:51:37.744 D/BleProximity: 📶 RSSI: -89
02-14 13:51:38.069 D/BleProximity: 📶 RSSI: -92
02-14 13:51:38.359 D/BleProximity: 📶 RSSI: -83
02-14 13:51:38.661 D/BleProximity: 📶 RSSI: -85
02-14 13:51:38.963 D/BleProximity: 📶 RSSI: -86
02-14 13:51:39.265 D/BleProximity: 📶 RSSI: -88
02-14 13:51:39.569 D/BleProximity: 📶 RSSI: -91
02-14 13:51:39.869 D/BleProximity: 📶 RSSI: -89
02-14 13:51:40.175 D/BleProximity: 📶 RSSI: -91
02-14 13:51:40.487 D/BleProximity: 📶 RSSI: -93
02-14 13:51:40.777 D/BleProximity: 📶 RSSI: -89
02-14 13:51:41.078 D/BleProximity: 📶 RSSI: -86
02-14 13:51:41.380 D/BleProximity: 📶 RSSI: -81
02-14 13:51:41.682 D/BleProximity: 📶 RSSI: -85
02-14 13:51:41.983 D/BleProximity: 📶 RSSI: -92
02-14 13:51:42.287 D/BleProximity: 📶 RSSI: -86
02-14 13:51:42.588 D/BleProximity: 📶 RSSI: -83
02-14 13:51:42.890 D/BleProximity: 📶 RSSI: -84
02-14 13:51:43.192 D/BleProximity: 📶 RSSI: -87
02-14 13:51:43.496 D/BleProximity: 📶 RSSI: -88
02-14 13:51:43.798 D/BleProximity: 📶 RSSI: -90
02-14 13:51:44.102 D/BleProximity: 📶 RSSI: -96
02-14 13:51:44.407 D/BleProximity: 📶 RSSI: -86
02-14 13:51:44.721 D/BleProximity: 📶 RSSI: -91
02-14 13:51:45.012 D/BleProximity: 📶 RSSI: -79
02-14 13:51:45.313 D/BleProximity: 📶 RSSI: -86
02-14 13:51:45.613 D/BleProximity: 📶 RSSI: -87
02-14 13:51:45.915 D/BleProximity: 📶 RSSI: -83
02-14 13:51:46.217 D/BleProximity: 📶 RSSI: -95
02-14 13:51:46.519 D/BleProximity: 📶 RSSI: -85
02-14 13:51:46.821 D/BleProximity: 📶 RSSI: -84
02-14 13:51:47.123 D/BleProximity: 📶 RSSI: -85
02-14 13:51:47.427 D/BleProximity: 📶 RSSI: -83
