--- Log Capture Start: 20260214_192620 ---
02-14 19:25:47.514 D/BleProximity: 📶 RSSI: -70
02-14 19:25:47.818 D/BleProximity: 📶 RSSI: -71
02-14 19:25:48.120 D/BleProximity: 📶 RSSI: -71
02-14 19:25:48.121 D/BleProximity: 🔓 >>> 触发解锁 <<<
02-14 19:25:48.122 D/BleProximity: 原因: 信号均值(-71) > 阈值(-72.0) 
02-14 19:25:48.123 D/BleProximity: 📤 发送指令: 解锁车门
02-14 19:25:48.163 D/BleProximity: 收到认证挑战：uuid: E6B0E704-BD48-4CA4-8EC4-7C6503C24AF4, value: 22704ead7e1d
02-14 19:25:48.164 D/BleProximity: 🔐 处理认证挑战: 323237303465616437653164
02-14 19:25:48.424 D/BleProximity: 📶 RSSI: -72
02-14 19:25:48.729 D/BleProximity: 📶 RSSI: -72
02-14 19:25:49.040 D/BleProximity: 📶 RSSI: -71
02-14 19:25:49.340 D/BleProximity: 📶 RSSI: -70
02-14 19:25:49.650 D/BleProximity: 📶 RSSI: -70
02-14 19:25:49.680 D/BleProximity: 收到认证挑战：uuid: 6CB493E3-7D21-46FB-A7F6-003E2464267E, value: 01
02-14 19:25:49.681 D/BleProximity: 解锁成功
02-14 19:25:49.683 D/BleProximity: 📊 指令出队: 解锁车门 -> SUCCESS
02-14 19:25:49.685 D/BleProximity: 🔓 解锁结果: SUCCESS
02-14 19:25:49.686 D/BleProximity: 🔄 同步状态: 车辆已解锁
02-14 19:25:49.698 D/BleProximity: 🔗 链式触发: 120秒打火
02-14 19:25:49.951 D/BleProximity: 📶 RSSI: -71
02-14 19:25:49.952 D/BleProximity: 📊 正在收集信号样本: 1/5
02-14 19:25:50.200 D/BleProximity: 📤 发送指令: 120秒打火
02-14 19:25:50.233 D/BleProximity: 收到认证挑战：uuid: E6B0E704-BD48-4CA4-8EC4-7C6503C24AF4, value: 7db43c74337d
02-14 19:25:50.234 D/BleProximity: 🔐 处理认证挑战: 376462343363373433333764
02-14 19:25:50.248 D/BleProximity: 📶 RSSI: -71
02-14 19:25:50.249 D/BleProximity: 📊 正在收集信号样本: 2/5
02-14 19:25:50.554 D/BleProximity: 📶 RSSI: -71
02-14 19:25:50.554 D/BleProximity: 📊 正在收集信号样本: 3/5
02-14 19:25:50.860 D/BleProximity: 📶 RSSI: -69
02-14 19:25:50.862 D/BleProximity: 📊 正在收集信号样本: 4/5
02-14 19:25:51.157 D/BleProximity: 📶 RSSI: -69
02-14 19:25:51.465 D/BleProximity: 📶 RSSI: -69
02-14 19:25:51.770 D/BleProximity: 📶 RSSI: -67
02-14 19:25:52.072 D/BleProximity: 📶 RSSI: -69
