--- Log Capture Start: 20260515_115934 ---
05-15 11:59:22.282 D/BleProximity: 📡 EMA 信号: -66 | 落锁阈值:-95.0 | 解锁阈值:-60.0
05-15 11:59:22.390 D/BleProximity: 📡 EMA 信号: -66 | 落锁阈值:-95.0 | 解锁阈值:-60.0
05-15 11:59:22.494 D/BleProximity: 📡 EMA 信号: -66 | 落锁阈值:-95.0 | 解锁阈值:-60.0
05-15 11:59:22.598 D/BleProximity: 📡 EMA 信号: -66 | 落锁阈值:-95.0 | 解锁阈值:-60.0
05-15 11:59:22.726 D/BleProximity: 📡 EMA 信号: -66 | 落锁阈值:-95.0 | 解锁阈值:-60.0
05-15 11:59:22.808 D/BleProximity: 📡 EMA 信号: -66 | 落锁阈值:-95.0 | 解锁阈值:-60.0
05-15 11:59:22.917 D/BleProximity: 📡 EMA 信号: -66 | 落锁阈值:-95.0 | 解锁阈值:-60.0
05-15 11:59:23.019 D/BleProximity: 📡 EMA 信号: -66 | 落锁阈值:-95.0 | 解锁阈值:-60.0
05-15 11:59:23.121 D/BleProximity: 📡 EMA 信号: -67 | 落锁阈值:-95.0 | 解锁阈值:-60.0
05-15 11:59:23.234 D/BleProximity: 📡 EMA 信号: -67 | 落锁阈值:-95.0 | 解锁阈值:-60.0
05-15 11:59:23.337 D/BleProximity: 📡 EMA 信号: -67 | 落锁阈值:-95.0 | 解锁阈值:-60.0
05-15 11:59:23.442 D/BleProximity: 📡 EMA 信号: -67 | 落锁阈值:-95.0 | 解锁阈值:-60.0
05-15 11:59:23.548 D/BleProximity: 📡 EMA 信号: -67 | 落锁阈值:-95.0 | 解锁阈值:-60.0
05-15 11:59:23.655 D/BleProximity: 📡 EMA 信号: -67 | 落锁阈值:-95.0 | 解锁阈值:-60.0
05-15 11:59:23.758 D/BleProximity: 📡 EMA 信号: -67 | 落锁阈值:-95.0 | 解锁阈值:-60.0
05-15 11:59:23.874 D/BleProximity: 📡 EMA 信号: -67 | 落锁阈值:-95.0 | 解锁阈值:-60.0
05-15 11:59:23.995 D/BleProximity: 📡 EMA 信号: -67 | 落锁阈值:-95.0 | 解锁阈值:-60.0
05-15 11:59:24.108 D/BleProximity: 📡 EMA 信号: -66 | 落锁阈值:-95.0 | 解锁阈值:-60.0
05-15 11:59:24.241 D/BleProximity: 📡 EMA 信号: -66 | 落锁阈值:-95.0 | 解锁阈值:-60.0
05-15 11:59:24.358 D/BleProximity: 📡 EMA 信号: -66 | 落锁阈值:-95.0 | 解锁阈值:-60.0
05-15 11:59:24.464 D/BleProximity: 📡 EMA 信号: -66 | 落锁阈值:-95.0 | 解锁阈值:-60.0
05-15 11:59:24.581 D/BleProximity: 📡 EMA 信号: -66 | 落锁阈值:-95.0 | 解锁阈值:-60.0
05-15 11:59:24.677 D/BleProximity: 📡 EMA 信号: -66 | 落锁阈值:-95.0 | 解锁阈值:-60.0
05-15 11:59:24.776 D/BleProximity: 📡 EMA 信号: -66 | 落锁阈值:-95.0 | 解锁阈值:-60.0
05-15 11:59:24.879 D/BleProximity: 📡 EMA 信号: -67 | 落锁阈值:-95.0 | 解锁阈值:-60.0
05-15 11:59:24.986 D/BleProximity: 📡 EMA 信号: -67 | 落锁阈值:-95.0 | 解锁阈值:-60.0
