--- Log Capture Start: 20260228_123315 ---
02-28 12:33:12.247 D/BleProximity: 📶 RSSI: -92
02-28 12:33:12.549 D/BleProximity: 📶 RSSI: -90
02-28 12:33:12.854 D/BleProximity: 📶 RSSI: -89
02-28 12:33:13.160 D/BleProximity: 📶 RSSI: -89
02-28 12:33:13.467 D/BleProximity: 📶 RSSI: -90
02-28 12:33:13.767 D/BleProximity: 📶 RSSI: -90
02-28 12:33:14.075 D/BleProximity: 📶 RSSI: -92
02-28 12:33:14.377 D/BleProximity: 📶 RSSI: -92
02-28 12:33:14.684 D/BleProximity: 📶 RSSI: -91
02-28 12:33:14.984 D/BleProximity: 📶 RSSI: -91
02-28 12:33:15.291 D/BleProximity: 📶 RSSI: -92
02-28 12:33:15.595 D/BleProximity: 📶 RSSI: -87
02-28 12:33:15.895 D/BleProximity: 📶 RSSI: -87
