--- Log Capture Start: 20260430_161409 ---
04-30 16:06:42.973 D/BleProximity: 📡 EMA 信号: -69 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:06:43.282 D/BleProximity: 📡 EMA 信号: -69 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:06:43.588 D/BleProximity: 📡 EMA 信号: -69 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:06:43.896 D/BleProximity: 📡 EMA 信号: -69 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:06:44.201 D/BleProximity: 📡 EMA 信号: -69 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:06:44.517 D/BleProximity: 📡 EMA 信号: -69 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:06:44.815 D/BleProximity: 📡 EMA 信号: -70 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:06:45.122 D/BleProximity: 📡 EMA 信号: -70 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:06:45.438 D/BleProximity: 📡 EMA 信号: -70 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:06:45.736 D/BleProximity: 📡 EMA 信号: -70 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:06:46.043 D/BleProximity: 📡 EMA 信号: -70 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:06:46.350 D/BleProximity: 📡 EMA 信号: -70 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:06:46.657 D/BleProximity: 📡 EMA 信号: -70 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:06:46.958 D/BleProximity: 📡 EMA 信号: -71 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:06:47.259 D/BleProximity: 📡 EMA 信号: -70 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:06:47.559 D/BleProximity: 📡 EMA 信号: -71 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:06:47.869 D/BleProximity: 📡 EMA 信号: -71 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:06:48.176 D/BleProximity: 📡 EMA 信号: -71 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:06:48.483 D/BleProximity: 📡 EMA 信号: -71 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:06:48.790 D/BleProximity: 📡 EMA 信号: -71 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:06:49.089 D/BleProximity: 📡 EMA 信号: -71 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:06:49.395 D/BleProximity: 📡 EMA 信号: -71 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:06:49.702 D/BleProximity: 📡 EMA 信号: -71 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:06:50.009 D/BleProximity: 📡 EMA 信号: -70 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:06:50.325 D/BleProximity: 📡 EMA 信号: -71 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:06:50.624 D/BleProximity: 📡 EMA 信号: -71 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:06:50.931 D/BleProximity: 📡 EMA 信号: -71 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:06:51.239 D/BleProximity: 📡 EMA 信号: -70 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:06:51.545 D/BleProximity: 📡 EMA 信号: -70 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:06:51.852 D/BleProximity: 📡 EMA 信号: -70 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:06:52.159 D/BleProximity: 📡 EMA 信号: -70 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:06:52.466 D/BleProximity: 📡 EMA 信号: -70 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:06:52.773 D/BleProximity: 📡 EMA 信号: -70 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:06:53.075 D/BleProximity: 📡 EMA 信号: -70 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:06:53.379 D/BleProximity: 📡 EMA 信号: -70 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:06:53.686 D/BleProximity: 📡 EMA 信号: -70 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:06:53.993 D/BleProximity: 📡 EMA 信号: -70 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:06:54.300 D/BleProximity: 📡 EMA 信号: -70 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:06:54.607 D/BleProximity: 📡 EMA 信号: -70 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:06:54.911 D/BleProximity: 📡 EMA 信号: -70 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:06:55.212 D/BleProximity: 📡 EMA 信号: -70 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:06:55.514 D/BleProximity: 📡 EMA 信号: -70 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:06:55.814 D/BleProximity: 📡 EMA 信号: -70 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:06:56.120 D/BleProximity: 📡 EMA 信号: -70 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:06:56.421 D/BleProximity: 📡 EMA 信号: -71 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:06:56.724 D/BleProximity: 📡 EMA 信号: -71 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:06:57.031 D/BleProximity: 📡 EMA 信号: -70 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:06:57.345 D/BleProximity: 📡 EMA 信号: -71 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:06:57.644 D/BleProximity: 📡 EMA 信号: -71 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:06:57.942 D/BleProximity: 📡 EMA 信号: -71 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:06:58.257 D/BleProximity: 📡 EMA 信号: -71 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:06:58.556 D/BleProximity: 📡 EMA 信号: -71 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:06:58.871 D/BleProximity: 📡 EMA 信号: -71 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:06:59.170 D/BleProximity: 📡 EMA 信号: -71 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:06:59.477 D/BleProximity: 📡 EMA 信号: -71 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:06:59.784 D/BleProximity: 📡 EMA 信号: -71 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:07:00.091 D/BleProximity: 📡 EMA 信号: -71 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:07:00.398 D/BleProximity: 📡 EMA 信号: -72 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:07:00.705 D/BleProximity: 📡 EMA 信号: -72 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:07:01.020 D/BleProximity: 📡 EMA 信号: -72 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:07:01.319 D/BleProximity: 📡 EMA 信号: -72 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:07:01.634 D/BleProximity: 📡 EMA 信号: -72 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:07:01.933 D/BleProximity: 📡 EMA 信号: -72 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:07:02.230 D/BleProximity: 📡 EMA 信号: -72 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:07:02.546 D/BleProximity: 📡 EMA 信号: -72 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:07:02.846 D/BleProximity: 📡 EMA 信号: -73 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:07:03.152 D/BleProximity: 📡 EMA 信号: -73 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:07:03.460 D/BleProximity: 📡 EMA 信号: -73 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:07:03.766 D/BleProximity: 📡 EMA 信号: -74 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:07:04.082 D/BleProximity: 📡 EMA 信号: -73 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:07:04.380 D/BleProximity: 📡 EMA 信号: -73 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:07:04.695 D/BleProximity: 📡 EMA 信号: -73 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:07:04.994 D/BleProximity: 📡 EMA 信号: -73 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:07:05.301 D/BleProximity: 📡 EMA 信号: -73 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:07:05.608 D/BleProximity: 📡 EMA 信号: -73 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:07:05.923 D/BleProximity: 📡 EMA 信号: -73 | 落锁阈值:-87.0 | 解锁阈值:-90.0
